EMA_Span,Derivadas,Rolling,Roll_Window,Squared,MW_Window,N_Features,Components_C,RMSE,R2,Jarque_Bera_Stat,Jarque_Bera_p,Lag_Top_Temp,Lag_Top_Pressure,Lag_Reflux_Flow,Lag_Flow_To_Next_Process,Lag_Temp_Sixth_Tray,Lag_Bottom_Temp_1,Lag_Bottom_Temp_2
21,True,True,12.0,True,400,36,18,0.020364521813160796,0.9903272718221056,24.5041,5e-06,10,0,2,16,9,10,10
21,False,True,16.0,False,200,22,12,0.02047562663645746,0.9903057702023419,25.0698,4e-06,10,0,2,16,9,10,10
15,True,True,16.0,False,400,29,18,0.020521189848561355,0.9903041361934323,7.8068,0.020173,11,1,3,18,10,11,11
15,True,True,12.0,False,400,29,18,0.02045990626337467,0.9902788524988922,3.5484,0.16962,11,1,3,18,10,11,11
18,True,True,16.0,True,400,36,18,0.020537293163194924,0.9902681036804022,23.2321,9e-06,10,0,2,17,9,11,11
15,True,True,12.0,True,400,36,18,0.020471983788947153,0.9902673722839835,3.8691,0.144491,11,1,3,18,10,11,11
18,False,True,18.0,True,300,29,14,0.020595995657084854,0.9902541465893492,13.1132,0.001421,10,0,2,17,9,11,11
21,False,True,8.0,False,400,22,16,0.020353686410786574,0.9902522905166862,8.1777,0.016758,10,0,2,16,9,10,10
21,False,True,18.0,False,200,22,12,0.02058232908896233,0.9902462759211627,245.3409,0.0,10,0,2,16,9,10,10
18,False,True,16.0,False,300,22,14,0.02057572062170147,0.9902316507837369,10.8916,0.004314,10,0,2,17,9,11,11
21,False,True,8.0,False,200,22,18,0.020376339124431046,0.9902305809409387,655.4263,0.0,10,0,2,16,9,10,10
18,False,True,12.0,False,300,22,14,0.020496649967036276,0.9902227538967848,6.8862,0.031965,10,0,2,17,9,11,11
21,True,True,8.0,True,400,36,20,0.020389535507967432,0.9902179228528718,46.3815,0.0,10,0,2,16,9,10,10
18,False,True,16.0,True,300,29,20,0.020604146055665077,0.9902046421193549,4503.8886,0.0,10,0,2,17,9,11,11
18,True,True,12.0,False,200,29,16,0.020519604817387002,0.9902008419357985,700.9013,0.0,10,0,2,17,9,11,11
18,True,True,18.0,True,400,36,18,0.020672878528575078,0.9901812501176182,19.5911,5.6e-05,10,0,2,17,9,11,11
21,False,True,16.0,True,300,29,20,0.020614661648745564,0.990173670367533,4246.4891,0.0,10,0,2,16,9,10,10
21,False,True,16.0,True,200,29,12,0.020625624771339435,0.9901632160701438,163.9236,0.0,10,0,2,16,9,10,10
21,True,True,18.0,False,400,29,16,0.02067568649397719,0.9901575932966901,4.3998,0.110811,10,0,2,16,9,10,10
18,True,True,18.0,False,400,29,18,0.020725658612777885,0.9901310494647189,8.3135,0.015658,10,0,2,17,9,11,11
18,False,True,8.0,False,200,22,20,0.020505680190618162,0.990127857500643,163.9988,0.0,10,0,2,17,9,11,11
21,False,True,18.0,False,300,22,20,0.02071322340804717,0.9901218228812229,8.2426,0.016224,10,0,2,16,9,10,10
21,False,True,18.0,False,300,22,16,0.020743592468678827,0.9900928355167287,4.6514,0.097716,10,0,2,16,9,10,10
21,True,True,16.0,False,300,29,20,0.020704250885428443,0.9900880763077184,31641.5865,0.0,10,0,2,16,9,10,10
15,True,True,18.0,False,400,29,20,0.02079401211266505,0.9900871268363608,13.2651,0.001317,11,1,3,18,10,11,11
15,False,True,8.0,False,400,22,20,0.020589904060125473,0.9900684567409781,13.1756,0.001377,11,1,3,18,10,11,11
15,True,True,18.0,True,400,36,18,0.020830000616291797,0.9900527844318595,13.666,0.001078,11,1,3,18,10,11,11
18,True,True,12.0,True,400,36,18,0.020696744708178425,0.9900309249971585,27.4785,1e-06,10,0,2,17,9,11,11
18,True,True,12.0,False,400,29,18,0.020699464982729014,0.9900283042562089,11.3099,0.0035,10,0,2,17,9,11,11
18,True,True,16.0,True,300,36,20,0.020792061542744145,0.9900251546234661,52755.8148,0.0,10,0,2,17,9,11,11
15,False,True,16.0,True,200,29,16,0.02084686912673862,0.989993939830878,73.8603,0.0,11,1,3,18,10,11,11
15,True,True,16.0,True,400,36,16,0.020851445370541503,0.9899895463465208,18.9752,7.6e-05,11,1,3,18,10,11,11
21,True,True,18.0,False,300,29,14,0.020853614715790964,0.9899874633005405,266.7675,0.0,10,0,2,16,9,10,10
21,False,True,12.0,True,200,29,14,0.020726768188283146,0.9899800920818803,119.2138,0.0,10,0,2,16,9,10,10
15,True,True,12.0,True,300,36,20,0.02078140901910898,0.9899709398989746,3283.5165,0.0,11,1,3,18,10,11,11
15,False,True,18.0,False,200,22,16,0.02091836651644741,0.9899682084274796,209.7501,0.0,11,1,3,18,10,11,11
18,False,True,16.0,False,400,22,20,0.02087442629542313,0.9899459702725043,2.0167,0.364823,10,0,2,17,9,11,11
18,False,True,8.0,True,400,29,20,0.020730790928057716,0.9899099155872573,27.6355,1e-06,10,0,2,17,9,11,11
18,True,True,18.0,True,300,36,14,0.020957284312845832,0.9899092301239434,25.6109,3e-06,10,0,2,17,9,11,11
15,True,True,16.0,False,400,29,16,0.021038485191371196,0.9898091510755572,5.7307,0.056964,11,1,3,18,10,11,11
18,True,False,,True,200,22,20,0.02070027623831927,0.9898074740929754,7.6644,0.021662,10,0,2,17,9,11,11
15,True,True,18.0,False,400,29,18,0.02110071956968344,0.9897925444929991,16.7848,0.000227,11,1,3,18,10,11,11
18,True,True,16.0,True,400,36,16,0.021098590384422675,0.9897288765366559,20.6204,3.3e-05,10,0,2,17,9,11,11
18,False,True,16.0,True,400,29,16,0.021099019367270468,0.9897284588613035,22.9748,1e-05,10,0,2,17,9,11,11
21,False,True,8.0,True,200,29,16,0.020904061776846408,0.9897179957415496,464.2432,0.0,10,0,2,16,9,10,10
21,False,True,12.0,False,400,22,14,0.021037186327436338,0.9896777147328145,10.8983,0.0043,10,0,2,16,9,10,10
21,False,True,16.0,False,300,22,12,0.021129824825295688,0.9896764111502616,6.0039,0.04969,10,0,2,16,9,10,10
15,False,True,16.0,False,200,22,16,0.021177638271560637,0.9896738963008248,41.4952,0.0,11,1,3,18,10,11,11
15,False,True,12.0,False,300,22,18,0.02109148608889011,0.9896694221417667,1.3383,0.512149,11,1,3,18,10,11,11
15,False,True,12.0,True,300,29,18,0.021105594081845983,0.9896555973725992,1.8341,0.399692,11,1,3,18,10,11,11
18,True,True,16.0,False,400,29,16,0.02119249696900888,0.9896372426800335,4.3462,0.113825,10,0,2,17,9,11,11
21,False,True,16.0,True,300,29,12,0.02117151690662933,0.9896356312061969,12.9262,0.00156,10,0,2,16,9,10,10
18,False,True,18.0,False,300,22,14,0.02125728186820611,0.989618269420551,11.5822,0.003055,10,0,2,17,9,11,11
21,False,True,18.0,True,300,29,18,0.021248468751168422,0.9896047076605408,323.2038,0.0,10,0,2,16,9,10,10
18,True,True,18.0,False,400,29,16,0.021272827791574966,0.9896030790867739,2.4219,0.29792,10,0,2,17,9,11,11
21,False,True,12.0,True,300,29,14,0.02111778439738763,0.9895984693470085,29.0826,0.0,10,0,2,16,9,10,10
21,False,True,18.0,True,300,29,20,0.021257233159922128,0.9895961303477812,3615.2735,0.0,10,0,2,16,9,10,10
18,False,True,8.0,True,400,29,18,0.0210653502118526,0.9895816144940928,10.3297,0.005714,10,0,2,17,9,11,11
18,False,True,16.0,True,400,29,20,0.02125651827476676,0.9895745375293751,36.4769,0.0,10,0,2,17,9,11,11
18,False,True,16.0,True,400,29,18,0.021259634829243465,0.9895714802174288,46.1715,0.0,10,0,2,17,9,11,11
15,False,True,18.0,True,200,29,14,0.021334612695214954,0.9895649991096417,18.9918,7.5e-05,11,1,3,18,10,11,11
18,False,True,8.0,False,200,22,18,0.02108283401344194,0.9895643132316096,637.1881,0.0,10,0,2,17,9,11,11
21,True,True,12.0,False,400,29,16,0.021157496674388872,0.9895593121277524,7.9826,0.018476,10,0,2,16,9,10,10
15,False,True,8.0,True,200,29,20,0.0211406569516607,0.9895300393220164,186.7563,0.0,11,1,3,18,10,11,11
18,False,True,16.0,False,400,22,18,0.0213136578878309,0.989518412858039,0.9737,0.614567,10,0,2,17,9,11,11
21,False,True,18.0,True,200,29,20,0.021341683611043407,0.9895133014352051,163451.3766,0.0,10,0,2,16,9,10,10
21,True,True,12.0,True,200,36,20,0.021250884738989895,0.9894669394310921,57128.7688,0.0,10,0,2,16,9,10,10
21,False,True,8.0,True,400,29,16,0.021164482804390664,0.9894602153052017,57.7787,0.0,10,0,2,16,9,10,10
21,False,True,8.0,True,300,29,16,0.021166016438686784,0.9894586877686131,30.3088,0.0,10,0,2,16,9,10,10
15,False,True,16.0,True,200,29,18,0.02141277463887525,0.9894433208401237,5734.7122,0.0,11,1,3,18,10,11,11
